N_tume,I_meses,Esp,Parc_m2,N_arv,DAP_cm,H_m,Cod
2,24,E_citriodora,432,1,6,7.5,
2,24,E_citriodora,432,2,6,8,
2,24,E_citriodora,432,3,8,8.5,
2,24,E_citriodora,432,4,6.5,8,
2,24,E_citriodora,432,5,6.5,7.5,
2,24,E_citriodora,432,6,8.5,9,
2,24,E_citriodora,432,7,7,7.5,
2,24,E_citriodora,432,8,6.5,7.5,
2,24,E_citriodora,432,9,5.5,7.5,
2,24,E_citriodora,432,10,6.5,8,
2,24,E_citriodora,432,11,7.5,8.5,
2,24,E_citriodora,432,12,6,8,
2,24,E_citriodora,432,13,7,7.5,
2,24,E_citriodora,432,14,7,8,
2,24,E_citriodora,432,15,6.5,8,
2,24,E_citriodora,432,16,5.5,7,
2,24,E_citriodora,432,17,7,8.5,
2,24,E_citriodora,432,18,5,7.5,
2,24,E_citriodora,432,19,7.5,8,
2,24,E_citriodora,432,20,6.5,8,
2,24,E_citriodora,432,21,7,8,
2,24,E_citriodora,432,22,6,7.5,
2,24,E_citriodora,432,23,5.5,7,
2,24,E_citriodora,432,24,4,5.5,
2,24,E_citriodora,432,25,5,6.5,
2,24,E_citriodora,432,26,5,7,
2,24,E_citriodora,432,27,6.5,7.5,
2,24,E_citriodora,432,28,7,7.5,
2,24,E_citriodora,432,29,0,,1
2,24,E_citriodora,432,30,8,8,
2,24,E_citriodora,432,31,7.5,8,
2,24,E_citriodora,432,32,5,7,
2,24,E_citriodora,432,33,8,8.5,
2,24,E_citriodora,432,34,6,7.5,
2,24,E_citriodora,432,35,8,8,
2,24,E_citriodora,432,36,3.5,3,
2,24,E_citriodora,432,37,6,7,
2,24,E_citriodora,432,38,5.5,7.5,
2,24,E_citriodora,432,39,6,8,
2,24,E_citriodora,432,40,6,6.5,
2,24,E_citriodora,432,41,7,8.5,
2,24,E_citriodora,432,42,5,6.5,
2,24,E_citriodora,432,43,5,6.5,
2,24,E_citriodora,432,44,7,7.5,
2,24,E_citriodora,432,45,7,7.5,
2,24,E_citriodora,432,46,6,7,
2,24,E_citriodora,432,47,6.5,8,
2,24,E_citriodora,432,48,5,7,
2,24,E_citriodora,432,49,6,7.5,
2,24,E_citriodora,432,50,6,7.5,
2,24,E_citriodora,432,51,8,7,
2,24,E_citriodora,432,52,6,7.5,
2,24,E_citriodora,432,53,6.5,6.5,
2,24,E_citriodora,432,54,7,7.5,
2,24,E_citriodora,432,55,5.5,7,
2,24,E_citriodora,432,56,6.5,7.5,
2,24,E_citriodora,432,57,5,6,
2,24,E_citriodora,432,58,8,7.5,
2,24,E_citriodora,432,59,0,,1
2,24,E_citriodora,432,60,6,6.5,
2,24,E_citriodora,432,61,5.5,7,
2,24,E_citriodora,432,62,4.5,6,
2,24,E_citriodora,432,63,0,,1
2,24,E_citriodora,432,64,7,7.5,
2,24,E_citriodora,432,65,7,7.5,
2,24,E_citriodora,432,66,6.5,7,
2,24,E_citriodora,432,67,5.5,7.5,
2,24,E_citriodora,432,68,4,5.5,
2,24,E_citriodora,432,69,7,7.5,
2,24,E_citriodora,432,70,4.5,5.5,
2,24,E_citriodora,432,71,6,7.5,
2,24,E_citriodora,432,72,7,8,
2,24,E_grandis,432,1,4,4.5,
2,24,E_grandis,432,2,9.5,9,
2,24,E_grandis,432,3,10.5,9,
2,24,E_grandis,432,4,7.5,7.5,
2,24,E_grandis,432,5,9,9,
2,24,E_grandis,432,6,6.5,7.5,
2,24,E_grandis,432,7,5.5,7,
2,24,E_grandis,432,8,4,6,
2,24,E_grandis,432,9,5.5,6.5,
2,24,E_grandis,432,10,6,7,
2,24,E_grandis,432,11,4,5,
2,24,E_grandis,432,12,8,8,
2,24,E_grandis,432,13,8,7,
2,24,E_grandis,432,14,4,5.5,
2,24,E_grandis,432,15,3.5,4,
2,24,E_grandis,432,16,0,,1
2,24,E_grandis,432,17,4.5,6,
2,24,E_grandis,432,18,4.5,6,
2,24,E_grandis,432,19,7.5,8,
2,24,E_grandis,432,20,2,4,
2,24,E_grandis,432,21,9,9,
2,24,E_grandis,432,22,5.5,7.5,
2,24,E_grandis,432,23,7,8,
2,24,E_grandis,432,24,8.5,8,
2,24,E_grandis,432,25,4,6,
2,24,E_grandis,432,26,6,7.5,
2,24,E_grandis,432,27,8.5,7,
2,24,E_grandis,432,28,10,10,
2,24,E_grandis,432,29,8,7.5,
2,24,E_grandis,432,30,5.5,7.5,
2,24,E_grandis,432,31,6,7.5,
2,24,E_grandis,432,32,8,7.5,
2,24,E_grandis,432,33,7.5,8.5,
2,24,E_grandis,432,34,6,7,
2,24,E_grandis,432,35,5.5,7.5,
2,24,E_grandis,432,36,7,7,
2,24,E_grandis,432,37,6,7.5,
2,24,E_grandis,432,38,9,8,
2,24,E_grandis,432,39,6,7.5,
2,24,E_grandis,432,40,8.5,9,16
2,24,E_grandis,432,41,5,7,
2,24,E_grandis,432,42,8,9.5,
2,24,E_grandis,432,43,10,9,
2,24,E_grandis,432,44,6.5,8.5,
2,24,E_grandis,432,45,7,9,
2,24,E_grandis,432,46,10.5,10,
2,24,E_grandis,432,47,9,10,
2,24,E_grandis,432,48,7,8,
2,24,E_grandis,432,49,7.5,8,
2,24,E_grandis,432,50,9,9.5,
2,24,E_grandis,432,51,7,7,
2,24,E_grandis,432,52,8,8,
2,24,E_grandis,432,53,7.5,7.5,
2,24,E_grandis,432,54,4.5,4.5,
2,24,E_grandis,432,55,8.5,8.5,
2,24,E_grandis,432,56,8,8,
2,24,E_grandis,432,57,8,8,
2,24,E_grandis,432,58,8.5,8.5,
2,24,E_grandis,432,59,9,9,
2,24,E_grandis,432,60,10,10,
2,24,E_grandis,432,61,9.5,9.5,
2,24,E_grandis,432,62,9.5,9.5,
2,24,E_grandis,432,63,6.5,6.5,
2,24,E_grandis,432,64,8,8,
2,24,E_grandis,432,65,8,8,
2,24,E_grandis,432,66,6.5,6.5,
2,24,E_grandis,432,67,7.5,7.5,
2,24,E_grandis,432,68,7.5,7.5,
2,24,E_grandis,432,69,8,8,
2,24,E_grandis,432,70,8.5,8.5,
2,24,E_grandis,432,71,7,7,
2,24,E_grandis,432,72,8.5,8.5,
2,24,E_paniculata,432,1,6,7,
2,24,E_paniculata,432,2,4.5,5.5,
2,24,E_paniculata,432,3,6,7,
2,24,E_paniculata,432,4,1,2.5,
2,24,E_paniculata,432,5,6,6.5,
2,24,E_paniculata,432,6,4.5,5,
2,24,E_paniculata,432,7,4.5,5.5,
2,24,E_paniculata,432,8,5,6,
2,24,E_paniculata,432,9,3,4,
2,24,E_paniculata,432,10,4,5,
2,24,E_paniculata,432,11,5.5,6,
2,24,E_paniculata,432,12,5,6,
2,24,E_paniculata,432,13,5.5,6,
2,24,E_paniculata,432,14,4.5,5.5,
2,24,E_paniculata,432,15,5,5.5,
2,24,E_paniculata,432,16,6,7,
2,24,E_paniculata,432,17,4,5.5,
2,24,E_paniculata,432,18,5,6,
2,24,E_paniculata,432,19,6.5,7.5,
2,24,E_paniculata,432,20,6,7.5,
2,24,E_paniculata,432,21,5.5,6.5,
2,24,E_paniculata,432,22,5.5,6.5,
2,24,E_paniculata,432,23,5.5,7,
2,24,E_paniculata,432,24,, ,1
2,24,E_paniculata,432,25,4,5,
2,24,E_paniculata,432,26,3.5,5,
2,24,E_paniculata,432,27,4.5,6,
2,24,E_paniculata,432,28,2,3.5,
2,24,E_paniculata,432,29,4.5,5.5,
2,24,E_paniculata,432,30,5,5.5,
2,24,E_paniculata,432,31,5.5,6.5,
2,24,E_paniculata,432,32,5,6.5,
2,24,E_paniculata,432,33,4.5,6,
2,24,E_paniculata,432,34,4,5.5,
2,24,E_paniculata,432,35,6,8,
2,24,E_paniculata,432,36,8,8,
2,24,E_paniculata,432,37,6,7.5,
2,24,E_paniculata,432,38,4,5,
2,24,E_paniculata,432,39,4.5,5.5,
2,24,E_paniculata,432,40,4,5,
2,24,E_paniculata,432,41,4,5,
2,24,E_paniculata,432,42,5,5.5,
2,24,E_paniculata,432,43,5,5.5,
2,24,E_paniculata,432,44,6,5.5,
2,24,E_paniculata,432,45,3,3.5,
2,24,E_paniculata,432,46,3,3.5,
2,24,E_paniculata,432,47,7,7,
2,24,E_paniculata,432,48,4,5,
2,24,E_paniculata,432,49,5,5.5,
2,24,E_paniculata,432,50,4,5,
2,24,E_paniculata,432,51,2.5,4,
2,24,E_paniculata,432,52,5,3,
2,24,E_paniculata,432,53,5,5.5,
2,24,E_paniculata,432,54,6,6.5,
2,24,E_paniculata,432,55,3.5,5.5,
2,24,E_paniculata,432,56,5,6,
2,24,E_paniculata,432,57,2,3.5,
2,24,E_paniculata,432,58,5,5.5,
2,24,E_paniculata,432,59,4.5,5.5,
2,24,E_paniculata,432,60,5,6,
2,24,E_paniculata,432,61,6,6.5,
2,24,E_paniculata,432,62,3.5,3,
2,24,E_paniculata,432,63,2,3,
2,24,E_paniculata,432,64,5,5,
2,24,E_paniculata,432,65,5,5,
2,24,E_paniculata,432,66,5,5,
2,24,E_paniculata,432,67,2,3,
2,24,E_paniculata,432,68,4.5,5,
2,24,E_paniculata,432,69,4,5,
2,24,E_paniculata,432,70,3,4.5,
2,24,E_paniculata,432,71,4.5,5.5,
2,24,E_paniculata,432,72,4.5,6,
2,24,E_pellita,432,1,11,9,
2,24,E_pellita,432,2,2.5,4,
2,24,E_pellita,432,3,9,9,
2,24,E_pellita,432,4,7,7,
2,24,E_pellita,432,5,7.5,7.5,
2,24,E_pellita,432,6,4,6.5,
2,24,E_pellita,432,7,7.5,7.5,
2,24,E_pellita,432,8,6,7.5,
2,24,E_pellita,432,9,8,8,
2,24,E_pellita,432,10,6.5,8,
2,24,E_pellita,432,11,8,7.5,
2,24,E_pellita,432,12,8.5,8,
2,24,E_pellita,432,13,7.5,7.5,
2,24,E_pellita,432,14,9,8.5,
2,24,E_pellita,432,15,2,4,
2,24,E_pellita,432,16,9.5,8.5,
2,24,E_pellita,432,17,7,8.5,
2,24,E_pellita,432,18,9.5,9.5,
2,24,E_pellita,432,19,6.5,8,
2,24,E_pellita,432,20,9.5,9,
2,24,E_pellita,432,21,9,8,
2,24,E_pellita,432,22,6,8,
2,24,E_pellita,432,23,6.5,7,
2,24,E_pellita,432,24,8,8.5,
2,24,E_pellita,432,25,7.5,7.5,
2,24,E_pellita,432,26,8,8.5,
2,24,E_pellita,432,27,7.5,8,
2,24,E_pellita,432,28,3.5,5.5,
2,24,E_pellita,432,29,5.5,6.5,
2,24,E_pellita,432,30,9,10,
2,24,E_pellita,432,31,7.5,8,
2,24,E_pellita,432,32,2,3,
2,24,E_pellita,432,33,6,7.5,
2,24,E_pellita,432,34,6,7.5,
2,24,E_pellita,432,35,8,8,
2,24,E_pellita,432,36,7,7.5,
2,24,E_pellita,432,37,7,9,
2,24,E_pellita,432,38,6.5,8,
2,24,E_pellita,432,39,8,8,
2,24,E_pellita,432,40,8,8,
2,24,E_pellita,432,41,7,7.5,
2,24,E_pellita,432,42,7,8,
2,24,E_pellita,432,43,7.5,8,
2,24,E_pellita,432,44,4,5.5,
2,24,E_pellita,432,45,10.5,9,
2,24,E_pellita,432,46,10,8,
2,24,E_pellita,432,47,5,4,
2,24,E_pellita,432,48,8.5,8,
2,24,E_pellita,432,49,4.5,5.5,
2,24,E_pellita,432,50,5.5,7,
2,24,E_pellita,432,51,8.5,8,
2,24,E_pellita,432,52,9,8.5,
2,24,E_pellita,432,53,0,,1
2,24,E_pellita,432,54,5,5,
2,24,E_pellita,432,55,7.5,8,
2,24,E_pellita,432,56,7,6.5,
2,24,E_pellita,432,57,8.5,8.5,
2,24,E_pellita,432,58,8,8.5,
2,24,E_pellita,432,59,8,8,
2,24,E_pellita,432,60,7,7.5,
2,24,E_pellita,432,61,6.5,7,
2,24,E_pellita,432,62,5.5,7,
2,24,E_pellita,432,63,8,8,
2,24,E_pellita,432,64,8,9,
2,24,E_pellita,432,65,9,8.5,
2,24,E_pellita,432,66,8,7.5,
2,24,E_pellita,432,67,8,8.5,
2,24,E_pellita,432,68,7.5,8,
2,24,E_pellita,432,69,7.5,8,
2,24,E_pellita,432,70,6.5,7.5,
2,24,E_pellita,432,71,7.5,8,
2,24,E_pellita,432,72,6.5,8,
2,24,E_propinqua,432,1,7.5,7,
2,24,E_propinqua,432,2,3.5,7,
2,24,E_propinqua,432,3,7,7,
2,24,E_propinqua,432,4,2.5,4,
2,24,E_propinqua,432,5,3.5,5.5,
2,24,E_propinqua,432,6,5.5,5,
2,24,E_propinqua,432,7,4.5,5.5,
2,24,E_propinqua,432,8,6.5,8,
2,24,E_propinqua,432,9,8.5,9.5,
2,24,E_propinqua,432,10,5.5,7.5,
2,24,E_propinqua,432,11,6.5,8.5,
2,24,E_propinqua,432,12,4,5,
2,24,E_propinqua,432,13,7.5,8.5,
2,24,E_propinqua,432,14,8,8,
2,24,E_propinqua,432,15,0,,1
2,24,E_propinqua,432,16,5.5,6.5,
2,24,E_propinqua,432,17,6.5,8,
2,24,E_propinqua,432,18,7,8,
2,24,E_propinqua,432,19,0,,1
2,24,E_propinqua,432,20,5,6.5,
2,24,E_propinqua,432,21,4,5,
2,24,E_propinqua,432,22,0,,1
2,24,E_propinqua,432,23,5.5,6,
2,24,E_propinqua,432,24,2,4,
2,24,E_propinqua,432,25,1.5,3,
2,24,E_propinqua,432,26,4.5,6,
2,24,E_propinqua,432,27,6.5,7.5,
2,24,E_propinqua,432,28,3.5,3.5,
2,24,E_propinqua,432,29,5,6.5,
2,24,E_propinqua,432,30,5,7.5,
2,24,E_propinqua,432,31,5,6.5,
2,24,E_propinqua,432,32,1,2,
2,24,E_propinqua,432,33,6.5,8,
2,24,E_propinqua,432,34,7,8,
2,24,E_propinqua,432,35,2,3,
2,24,E_propinqua,432,36,5.5,7,
2,24,E_propinqua,432,37,6,7.5,
2,24,E_propinqua,432,38,3.5,5,
2,24,E_propinqua,432,39,6,7,
2,24,E_propinqua,432,40,0,,1
2,24,E_propinqua,432,41,5.5,6.5,
2,24,E_propinqua,432,42,5.5,6.5,
2,24,E_propinqua,432,43,3.5,5.5,
2,24,E_propinqua,432,44,4.5,6,
2,24,E_propinqua,432,45,8.5,9,
2,24,E_propinqua,432,46,6,7.5,
2,24,E_propinqua,432,47,5.5,7,
2,24,E_propinqua,432,48,1.5,2.5,
2,24,E_propinqua,432,49,5,6.5,
2,24,E_propinqua,432,50,5.5,7,
2,24,E_propinqua,432,51,4.5,6.5,
2,24,E_propinqua,432,52,4,6,
2,24,E_propinqua,432,53,6,6.5,
2,24,E_propinqua,432,54,5.5,7,
2,24,E_propinqua,432,55,0,,1
2,24,E_propinqua,432,56,0,,1
2,24,E_propinqua,432,57,5,6.5,
2,24,E_propinqua,432,58,4.5,5.5,
2,24,E_propinqua,432,59,4,5.5,
2,24,E_propinqua,432,60,4.5,4.5,
2,24,E_propinqua,432,61,4.5,6.5,
2,24,E_propinqua,432,62,6,6.5,
2,24,E_propinqua,432,63,7.5,8,
2,24,E_propinqua,432,64,1,2.5,
2,24,E_propinqua,432,65,7.5,8,
2,24,E_propinqua,432,66,3,4.5,
2,24,E_propinqua,432,67,6.5,7,
2,24,E_propinqua,432,68,4,5.5,
2,24,E_propinqua,432,69,0,,1
2,24,E_propinqua,432,70,5,5.5,
2,24,E_propinqua,432,71,2.5,4,
2,24,E_propinqua,432,72,5.5,6.5,
2,24,E_saligna,432,1,7,7,
2,24,E_saligna,432,2,6.5,7.5,
2,24,E_saligna,432,3,4.5,5.5,
2,24,E_saligna,432,4,9,7,
2,24,E_saligna,432,5,7.5,6,
2,24,E_saligna,432,6,0, ,5
2,24,E_saligna,432,7,3.5,5,
2,24,E_saligna,432,8,7,8,
2,24,E_saligna,432,9,9,7.5,
2,24,E_saligna,432,10,1.5,3,
2,24,E_saligna,432,11,5.5,5.5,
2,24,E_saligna,432,12,7.5,7.5,
2,24,E_saligna,432,13,4.5,6,
2,24,E_saligna,432,14,4.5,5.5,
2,24,E_saligna,432,15,8,7,
2,24,E_saligna,432,16,6,7,
2,24,E_saligna,432,17,8,7.5,
