N_tume,I_meses,Esp,Parc_m2,N_arv,DAP_cm,H_m,Cod,Cod2
44,65,Clone_VCPP4295H,960,1,12.5732405,21.7,,
44,65,Clone_VCPP4295H,960,2,14.48309982,22.1,,
44,65,Clone_VCPP4295H,960,3,14.67408575,21.8,,
44,65,Clone_VCPP4295H,960,4,,,1,
44,65,Clone_VCPP4295H,960,5,14.80140971,23.1,,
44,65,Clone_VCPP4295H,960,6,13.4326772,23.8,,
44,65,Clone_VCPP4295H,960,7,15.24704355,24,,
44,65,Clone_VCPP4295H,960,8,11.4591559,21.6,,
44,65,Clone_VCPP4295H,960,9,12.09577567,22.7,,
44,65,Clone_VCPP4295H,960,10,10.53605723,20.6,,
44,65,Clone_VCPP4295H,960,11,16.64760705,26.2,,
44,65,Clone_VCPP4295H,960,12,10.50422624,20.7,,
44,65,Clone_VCPP4295H,960,13,16.04281826,24.1,,
44,65,Clone_VCPP4295H,960,14,14.80140971,24.1,,
44,65,Clone_VCPP4295H,960,15,12.73239545,19.3,,
44,65,Clone_VCPP4295H,960,16,16.13831123,24.1,,
44,65,Clone_VCPP4295H,960,17,17.31605781,24.6,,
44,65,Clone_VCPP4295H,960,18,8.53070495,17.5,7,
44,65,Clone_VCPP4295H,960,19,16.26563518,25.6,,
44,65,Clone_VCPP4295H,960,20,10.24957834,19,,
44,65,Clone_VCPP4295H,960,21,13.59183214,23.2,,
44,65,Clone_VCPP4295H,960,22,14.64225476,25.1,,
44,65,Clone_VCPP4295H,960,23,9.581127574,19.2,,
44,65,Clone_VCPP4295H,960,24,15.46986047,24.9,,
44,65,Clone_VCPP4295H,960,25,16.42479013,25.4,,
44,65,Clone_VCPP4295H,960,26,11.77746579,23.2,,
44,65,Clone_VCPP4295H,960,27,14.80140971,24.6,,
44,65,Clone_VCPP4295H,960,28,12.00028271,20.3,,
44,65,Clone_VCPP4295H,960,29,13.4326772,22.8,,
44,65,Clone_VCPP4295H,960,30,11.80929678,20.2,,
44,65,Clone_VCPP4295H,960,31,15.3743675,24.4,,
44,65,Clone_VCPP4295H,960,32,15.46986047,24,,
44,65,Clone_VCPP4295H,960,33,17.82535363,23.6,6,
44,65,Clone_VCPP4295H,960,34,15.08788861,24.3,,
44,65,Clone_VCPP4295H,960,35,16.13831123,25.7,,
44,65,Clone_VCPP4295H,960,36,14.76957872,22.5,,
44,65,Clone_VCPP4295H,960,37,15.05605762,25.4,,
44,65,Clone_VCPP4295H,960,38,15.9473253,25.1,,
44,65,Clone_VCPP4295H,960,39,12.44591655,22.4,,
44,65,Clone_VCPP4295H,960,40,14.51493081,25.3,,
44,65,Clone_VCPP4295H,960,41,12.15943765,23.2,,
44,65,Clone_VCPP4295H,960,42,15.50169146,25.7,,
44,65,Clone_VCPP4295H,960,43,13.68732511,24.4,,
44,65,Clone_VCPP4295H,960,44,14.99239564,24.5,,
44,65,Clone_VCPP4295H,960,45,14.76957872,23.9,,
44,65,Clone_VCPP4295H,960,46,16.71126902,25.6,,
44,65,Clone_VCPP4295H,960,47,17.50704374,26.4,6,
44,65,Clone_VCPP4295H,960,48,11.17267701,22.1,,
44,65,Clone_VCPP4295H,960,49,13.1461983,24.6,,
44,65,Clone_VCPP4295H,960,50,16.32929716,26.6,,
44,65,Clone_VCPP4295H,960,51,11.30000096,22.1,,
44,65,Clone_VCPP4295H,960,52,12.76422644,23.1,,
44,65,Clone_VCPP4295H,960,53,14.32394488,24.6,,
44,65,Clone_VCPP4295H,960,54,11.49098689,22.7,,
44,65,Clone_VCPP4295H,960,55,17.25239583,27.4,,
44,65,Clone_VCPP4295H,960,56,12.70056446,24.2,,
44,65,Clone_VCPP4295H,960,57,14.73774773,24.6,,
44,65,Clone_VCPP4295H,960,58,13.62366313,24.4,,
44,65,Clone_VCPP4295H,960,59,12.5732405,24.7,,
44,65,Clone_VCPP4295H,960,60,17.28422682,27.4,,
44,65,Clone_VCPP4295H,960,61,14.76957872,23.8,,
44,65,Clone_VCPP4295H,960,62,14.67408575,24.9,,
44,65,Clone_VCPP4295H,960,63,13.65549412,22.4,,
44,65,Clone_VCPP4295H,960,64,13.27352225,22.9,,
44,65,Clone_VCPP4295H,960,65,12.00028271,20.8,,
44,65,Clone_VCPP4295H,960,66,10.59971921,20.1,2,
44,65,Clone_VCPP4295H,960,67,13.75098708,23.7,,
44,65,Clone_VCPP4295H,960,68,10.75887415,20.4,,
44,65,Clone_VCPP4295H,960,69,14.10112796,25.3,,
44,65,Clone_VCPP4295H,960,70,10.40873328,21,,
44,65,Clone_VCPP4295H,960,71,13.01887434,23.7,,
44,65,Clone_VCPP4295H,960,72,13.20986028,24.2,,
44,65,Clone_VCPP4295H,960,73,15.31070553,26.1,,
44,65,Clone_VCPP4295H,960,74,14.16478994,25.4,,
44,65,Clone_VCPP4295H,960,75,14.2602829,24,,
44,65,Clone_VCPP4295H,960,76,9.994930426,20.3,,
44,65,Clone_VCPP4295H,960,77,12.73239545,22.6,,
44,65,Clone_VCPP4295H,960,78,14.57859279,24.6,,
44,65,Clone_VCPP4295H,960,79,13.4326772,24.5,,
44,65,Clone_VCPP4295H,960,80,10.75887415,21.4,,
44,65,Clone_VCPP4295H,960,81,14.03746598,23.9,,
44,65,Clone_VCPP4295H,960,82,14.96056465,24.4,,
44,65,Clone_VCPP4295H,960,83,12.82788841,23.6,,
44,65,Clone_VCPP4295H,960,84,14.45126883,24.3,,
44,65,Clone_VCPP4295H,960,85,15.05605762,25.6,,
44,65,Clone_VCPP4295H,960,86,14.38760686,25,,
44,65,Clone_VCPP4295H,960,87,13.4326772,24.7,,
44,65,Clone_VCPP4295H,960,88,12.22309963,23,,
44,65,Clone_VCPP4295H,960,89,14.45126883,24.7,,
44,65,Clone_VCPP4295H,960,90,12.66873347,23.6,,
44,65,Clone_VCPP4295H,960,91,13.62366313,23.4,,
44,65,Clone_VCPP4295H,960,92,12.41408556,22.7,,
44,65,Clone_VCPP4295H,960,93,14.67408575,24.5,,
44,65,Clone_VCPP4295H,960,94,15.82000134,23.2,,
44,65,Clone_VCPP4295H,960,95,10.12225438,19,,
44,65,Clone_VCPP4295H,960,96,12.25493062,19,,
44,65,Clone_VCPP4295H,960,97,15.15155058,23.9,,
44,65,Clone_VCPP4295H,960,98,14.61042378,23.2,,
44,65,Clone_VCPP4295H,960,99,14.96056465,24.4,,
44,65,Clone_VCPP4295H,960,100,12.25493062,23.3,,
44,65,Clone_VCPP4295H,960,101,17.44338176,27.1,,
44,65,Clone_VCPP4295H,960,102,12.82788841,23.4,,
44,65,Clone_VCPP4295H,960,103,15.46986047,25.7,,
44,65,Clone_VCPP4295H,960,104,13.59183214,24.7,,
44,65,Clone_VCPP4295H,960,105,15.40619849,26.4,,
44,65,Clone_VCPP4295H,960,106,13.75098708,24.7,,
44,65,Clone_VCPP4295H,960,107,8.212395064,16.4,7,
44,65,Clone_VCPP4295H,960,108,16.01098728,25.3,,
44,65,Clone_VCPP4295H,960,109,16.36112815,25.1,,
44,65,Clone_VCPP4295H,960,110,14.57859279,24.6,,
44,65,Clone_VCPP4295H,960,111,12.19126864,22.5,,
44,65,Clone_VCPP4295H,960,112,12.15943765,22.4,,
44,65,Clone_VCPP4295H,960,113,14.64225476,24.3,,
44,65,Clone_VCPP4295H,960,114,13.20986028,23.9,,
44,65,Clone_VCPP4295H,960,115,16.20197321,25.8,,
44,65,Clone_VCPP4295H,960,116,13.71915609,23.9,,
44,65,Clone_VCPP4295H,960,117,14.48309982,23.3,,
44,65,Clone_VCPP4295H,960,118,13.36901522,23.9,,
44,65,Clone_VCPP4295H,960,119,11.30000096,22.2,,
44,65,Clone_VCPP4295H,960,120,14.19662092,24.8,,
44,65,Clone_VCPP4295H,960,121,13.71915609,24.5,,
44,65,Clone_VCPP4295H,960,122,15.78817035,24.8,,
44,65,Clone_VCPP4295H,960,123,12.95521237,23.1,,
44,65,Clone_VCPP4295H,960,124,12.79605742,24.1,,
44,65,Clone_VCPP4295H,960,125,15.15155058,25.9,,
44,65,Clone_VCPP4295H,960,126,13.62366313,23.4,,
44,65,Clone_VCPP4295H,960,127,13.20986028,22.5,,
44,65,Clone_VCPP4295H,960,128,13.78281807,22.6,,
44,65,Clone_VCPP4295H,960,129,14.13295895,23.9,,
44,65,Clone_VCPP4295H,960,130,15.27887454,25.1,,
44,65,Clone_VCPP4295H,960,131,14.76957872,25.1,,
44,65,Clone_VCPP4295H,960,132,7.989578143,16.7,7,
44,65,Clone_VCPP4295H,960,133,18.52563538,28.3,6,
44,65,Clone_VCPP4295H,960,134,10.24957834,21.9,,
44,65,Clone_VCPP4295H,960,135,15.9473253,26.9,,
44,65,Clone_VCPP4295H,960,136,11.33183195,22.5,,
44,65,Clone_VCPP4295H,960,137,11.49098689,22.1,,
44,65,Clone_VCPP4295H,960,138,10.9180291,21.6,,
44,65,Clone_VCPP4295H,960,139,8.339719018,18.1,7,
44,65,Clone_VCPP4295H,960,140,14.32394488,23.9,,
44,65,Clone_VCPP4295H,960,141,13.84648005,24.2,,
44,65,Clone_VCPP4295H,960,142,12.60507149,23.4,,
44,65,Clone_VCPP4295H,960,143,14.80140971,24.5,,
44,65,Clone_VCPP4295H,960,144,13.81464906,24.7,,
44,65,Clone_VCPP4295H,960,145,17.76169165,28.2,6,
44,65,Clone_VCPP4295H,960,146,16.20197321,26.8,,
44,65,Clone_VCPP4295H,960,147,16.93408594,27.2,,
44,65,Clone_VCPP4295H,960,148,15.02422663,24.8,,
44,65,Clone_VCPP4295H,960,149,17.12507188,26.9,,
44,65,Clone_VCPP4295H,960,150,17.53887473,26.7,6,
44,65,Clone_VCPP4295H,960,151,15.69267739,25.5,,
44,65,Clone_VCPP4295H,960,152,14.86507168,25,,
44,65,Clone_VCPP4295H,960,153,12.54140952,24,,
44,65,Clone_VCPP4295H,960,154,17.3478888,28.3,,
44,65,Clone_VCPP4295H,960,155,18.30281846,29.2,6,
44,65,Clone_VCPP4295H,960,156,19.51239602,30.3,6,
44,65,Clone_VCPP4295H,960,157,18.68479032,28.4,6,
44,65,Clone_VCPP4295H,960,158,19.2895791,29.7,6,
44,65,Clone_VCPP4295H,960,159,17.53887473,28.4,6,
44,65,Clone_VCPP4295H,960,160,17.28422682,27.1,,
44,65,E_camaldulensis,960,1,9.199155711,13.4,,
44,65,E_camaldulensis,960,2,11.77746579,18.3,,
44,65,E_camaldulensis,960,3,10.18591636,14.6,,
44,65,E_camaldulensis,960,4,18.87577625,19.6,6,21
44,65,E_camaldulensis,960,5,,,1,
44,65,E_camaldulensis,960,6,12.54140952,17.8,,
44,65,E_camaldulensis,960,7,12.63690248,18.5,,
44,65,E_camaldulensis,960,8,9.867606472,14.3,,
44,65,E_camaldulensis,960,9,13.68732511,17.9,,
44,65,E_camaldulensis,960,10,6.525352667,8,21,
44,65,E_camaldulensis,960,11,3.883380611,5.8,7,21
44,65,E_camaldulensis,960,12,11.49098689,17.2,,
44,65,E_camaldulensis,960,13,11.77746579,16.6,,
44,65,E_camaldulensis,960,14,10.59971921,17.6,,
44,65,E_camaldulensis,960,15,13.68732511,16.8,,
44,65,E_camaldulensis,960,16,13.84648005,18.2,,
44,65,E_camaldulensis,960,17,9.612958563,14.1,,
44,65,E_camaldulensis,960,18,11.71380381,18.1,,
44,65,E_camaldulensis,960,19,11.87295875,17.6,,
44,65,E_camaldulensis,960,20,12.44591655,18.9,,
44,65,E_camaldulensis,960,21,11.07718404,16.2,,
44,65,E_camaldulensis,960,22,11.20450799,18.2,,
44,65,E_camaldulensis,960,23,12.63690248,15.5,,
44,65,E_camaldulensis,960,24,12.54140952,14.4,,
44,65,E_camaldulensis,960,25,10.12225438,12.8,,
44,65,E_camaldulensis,960,26,6.111549815,6.2,,
44,65,E_camaldulensis,960,27,12.15943765,15.8,,
44,65,E_camaldulensis,960,28,14.64225476,19.4,,
44,65,E_camaldulensis,960,29,11.96845172,17.4,,
44,65,E_camaldulensis,960,30,14.5467618,19.1,,
44,65,E_camaldulensis,960,31,9.963099438,12.9,,
44,65,E_camaldulensis,960,32,12.12760666,19.8,,
44,65,E_camaldulensis,960,33,12.50957853,16.3,,
44,65,E_camaldulensis,960,34,12.28676161,19.4,,
44,65,E_camaldulensis,960,35,9.326479665,13.8,,
44,65,E_camaldulensis,960,36,9.931268449,13.2,,
44,65,E_camaldulensis,960,37,7.957747155,13.9,,
44,65,E_camaldulensis,960,38,18.65295933,21.9,6,
44,65,E_camaldulensis,960,39,6.429859701,10.5,,
44,65,E_camaldulensis,960,40,9.262817688,10.2,,
44,65,E_camaldulensis,960,41,7.512113314,10.8,21,
44,65,E_camaldulensis,960,42,13.94197301,16.1,,
44,65,E_camaldulensis,960,43,11.52281788,17.6,,
44,65,E_camaldulensis,960,44,6.175211792,6.1,,
44,65,E_camaldulensis,960,45,9.963099438,13.6,2,
44,65,E_camaldulensis,960,46,,,5,
44,65,E_camaldulensis,960,47,16.29746617,22.6,6,
44,65,E_camaldulensis,960,48,10.53605723,,20,
44,65,E_camaldulensis,960,49,10.3450713,17.5,,
44,65,E_camaldulensis,960,50,7.766761223,10.1,,
44,65,E_camaldulensis,960,51,8.658028904,13.4,,
44,65,E_camaldulensis,960,52,14.73774773,18.5,,
44,65,E_camaldulensis,960,53,13.84648005,15.9,,
44,65,E_camaldulensis,960,54,12.98704336,19.4,,
44,65,E_camaldulensis,960,55,8.371550007,10.7,,
44,65,E_camaldulensis,960,56,11.61831085,18.1,,
44,65,E_camaldulensis,960,57,16.07464925,18.6,6,
44,65,E_camaldulensis,960,58,8.785352859,13.5,,
44,65,E_camaldulensis,960,59,12.00028271,14.9,,
44,65,E_camaldulensis,960,60,13.36901522,19.4,,
44,65,E_camaldulensis,960,61,13.36901522,19.6,,
44,65,E_camaldulensis,960,62,15.6608464,20.8,6,
44,65,E_camaldulensis,960,63,10.12225438,16.4,,
44,65,E_camaldulensis,960,64,9.612958563,14.6,,
44,65,E_camaldulensis,960,65,9.67662054,14.9,,
44,65,E_camaldulensis,960,66,13.20986028,21.2,,
44,65,E_camaldulensis,960,67,9.835775483,16,,
44,65,E_camaldulensis,960,68,8.97633879,12.9,,
44,65,E_camaldulensis,960,69,11.58647986,17.7,,
44,65,E_camaldulensis,960,70,10.75887415,19.6,,
44,65,E_camaldulensis,960,71,11.55464887,16.5,,
44,65,E_camaldulensis,960,72,6.748169587,11.4,,
44,65,E_camaldulensis,960,73,16.55211408,20.8,6,
44,65,E_camaldulensis,960,74,13.20986028,17.7,,
44,65,E_camaldulensis,960,75,14.10112796,20.4,,
44,65,E_camaldulensis,960,76,10.88619811,12.8,,
44,65,E_camaldulensis,960,77,11.65014183,16.5,,
44,65,E_camaldulensis,960,78,7.066479473,10.1,,
44,65,E_camaldulensis,960,79,13.49633917,18.2,2,
44,65,E_camaldulensis,960,80,7.798592212,12.3,,
44,65,E_camaldulensis,960,81,8.75352187,12.1,,
44,65,E_camaldulensis,960,82,12.79605742,16.7,2,
44,65,E_camaldulensis,960,83,13.62366313,19.3,,
44,65,E_camaldulensis,960,84,12.60507149,17.8,,
44,65,E_camaldulensis,960,85,11.90478974,18.4,,
44,65,E_camaldulensis,960,86,11.90478974,15.8,,
44,65,E_camaldulensis,960,87,16.45662112,22,6,21
44,65,E_camaldulensis,960,88,10.18591636,14.3,,
44,65,E_camaldulensis,960,89,10.53605723,16.5,,
44,65,E_camaldulensis,960,90,12.0321137,16.9,,
44,65,E_camaldulensis,960,91,14.16478994,17.8,,
44,65,E_camaldulensis,960,92,10.44056427,13.9,,
44,65,E_camaldulensis,960,93,11.17267701,17.5,,
44,65,E_camaldulensis,960,94,9.931268449,15.2,,
44,65,E_camaldulensis,960,95,10.59971921,18,,
44,65,E_camaldulensis,960,96,12.15943765,18,,
44,65,E_camaldulensis,960,97,9.803944494,15.4,,
44,65,E_camaldulensis,960,98,12.00028271,16.7,,
44,65,E_camaldulensis,960,99,11.20450799,17.5,,
44,65,E_camaldulensis,960,100,14.73774773,,20,
44,65,E_camaldulensis,960,101,12.00028271,19.6,,
44,65,E_camaldulensis,960,102,12.35042358,15.5,,
44,65,E_camaldulensis,960,103,6.525352667,10,2,
44,65,E_camaldulensis,960,104,16.32929716,22,6,
44,65,E_camaldulensis,960,105,9.135493733,14.7,,
44,65,E_camaldulensis,960,106,3.947042589,5.2,7,
44,65,E_camaldulensis,960,107,14.06929697,19.5,,
44,65,E_camaldulensis,960,108,8.180564075,12.9,,
44,65,E_camaldulensis,960,109,14.96056465,21.1,,
44,65,E_camaldulensis,960,110,7.002817496,12.3,,
44,65,E_camaldulensis,960,111,5.506761031,8.9,,
44,65,E_camaldulensis,960,112,14.89690267,18.1,,
44,65,E_camaldulensis,960,113,14.45126883,17.2,,
44,65,E_camaldulensis,960,114,12.5732405,14.2,,
44,65,E_camaldulensis,960,115,10.56788822,16.2,,
44,65,E_camaldulensis,960,116,12.66873347,17.9,,
44,65,E_camaldulensis,960,117,16.61577606,25.3,6,
44,65,E_camaldulensis,960,118,14.96056465,19.6,,
44,65,E_camaldulensis,960,119,9.262817688,14,,
44,65,E_camaldulensis,960,120,14.8332407,20.5,,
44,65,E_camaldulensis,960,121,12.66873347,16.2,,
44,65,E_camaldulensis,960,122,14.00563499,22.6,,
44,65,E_camaldulensis,960,123,11.65014183,14.5,,
44,65,E_camaldulensis,960,124,14.16478994,18.4,,
44,65,E_camaldulensis,960,125,12.73239545,18.6,,
44,65,E_camaldulensis,960,126,,,1,
44,65,E_camaldulensis,960,127,12.35042358,14.3,,
44,65,E_camaldulensis,960,128,8.721690881,14.3,,
44,65,E_camaldulensis,960,129,9.931268449,12.9,,
44,65,E_camaldulensis,960,130,10.69521218,18,,
44,65,E_camaldulensis,960,131,8.912676813,15.3,,
44,65,E_camaldulensis,960,132,13.56000115,20,,
44,65,E_camaldulensis,960,133,8.339719018,12.7,,
44,65,E_camaldulensis,960,134,0.954929659,,20,
44,65,E_camaldulensis,960,135,9.135493733,13.8,,
44,65,E_camaldulensis,960,136,13.1461983,17.9,,
44,65,E_camaldulensis,960,137,15.62901541,22.7,,
44,65,E_camaldulensis,960,138,10.88619811,14.2,,
44,65,E_camaldulensis,960,139,10.3450713,13.8,,
44,65,E_camaldulensis,960,140,3.533239737,6.6,7,
44,65,E_camaldulensis,960,141,12.0321137,15.7,,
44,65,E_camaldulensis,960,142,3.437746771,7.8,7,
44,65,E_camaldulensis,960,143,12.41408556,18.8,,
44,65,E_camaldulensis,960,144,6.46169069,11.9,,
44,65,E_camaldulensis,960,145,12.15943765,20.7,,
44,65,E_camaldulensis,960,146,9.071831756,11.7,,
44,65,E_camaldulensis,960,147,14.96056465,21.5,,
44,65,E_camaldulensis,960,148,13.36901522,21.1,,
44,65,E_camaldulensis,960,149,11.55464887,16,,
44,65,E_camaldulensis,960,150,10.50422624,13,,
44,65,E_camaldulensis,960,151,7.130141451,9.3,,
44,65,E_camaldulensis,960,152,12.60507149,18.1,,
44,65,E_camaldulensis,960,153,10.28140932,13.5,,
44,65,E_camaldulensis,960,154,10.53605723,17,,
44,65,E_camaldulensis,960,155,12.00028271,14.9,,
44,65,E_camaldulensis,960,156,,,1,
44,65,E_camaldulensis,960,157,16.61577606,20,6,
44,65,E_camaldulensis,960,158,13.81464906,18,,
44,65,E_camaldulensis,960,159,11.04535305,16.1,,
44,65,E_camaldulensis,960,160,10.47239526,16.8,,
44,65,E_citriodora,960,1,11.77746579,17.5,,
44,65,E_citriodora,960,2,7.894085177,14.8,,
44,65,E_citriodora,960,3,6.525352667,11.6,,
44,65,E_citriodora,960,4,6.270704758,12.2,,
44,65,E_citriodora,960,5,4.83831027,8.5,,
44,65,E_citriodora,960,6,12.82788841,18,,
44,65,E_citriodora,960,7,6.398028712,11.9,,
44,65,E_citriodora,960,8,3.501408748,6.7,,
44,65,E_citriodora,960,9,8.498873961,12.1,,
44,65,E_citriodora,960,10,3.565070725,6.7,,
44,65,E_citriodora,960,11,3.947042589,7.9,,
44,65,E_citriodora,960,12,7.862254189,11.9,,
44,65,E_citriodora,960,13,3.246760839,5.9,,
44,65,E_citriodora,960,14,10.47239526,13.6,,
44,65,E_citriodora,960,15,4.710986316,8,,
44,65,E_citriodora,960,16,11.26816997,15.3,,
44,65,E_citriodora,960,17,6.90732453,11.2,,
44,65,E_citriodora,960,18,5.634084985,10.1,,
44,65,E_citriodora,960,19,8.75352187,14.1,,
44,65,E_citriodora,960,20,12.54140952,20.3,21,
44,65,E_citriodora,960,21,11.4591559,18.3,,
44,65,E_citriodora,960,22,13.68732511,19.1,,
44,65,E_citriodora,960,23,13.1461983,17.9,,
44,65,E_citriodora,960,24,,,1,
44,65,E_citriodora,960,25,4.551831372,6.6,,
44,65,E_citriodora,960,26,11.55464887,18.1,,
44,65,E_citriodora,960,27,14.00563499,19.2,,
44,65,E_citriodora,960,28,7.766761223,12.6,,
44,65,E_citriodora,960,29,12.15943765,16.1,,
44,65,E_citriodora,960,30,14.70591674,17.9,,
44,65,E_citriodora,960,31,12.25493062,15.2,,
44,65,E_citriodora,960,32,5.347606088,8.7,,
44,65,E_citriodora,960,33,7.543944303,11.5,,
44,65,E_citriodora,960,34,8.97633879,13,,
44,65,E_citriodora,960,35,7.257465405,11.7,,
44,65,E_citriodora,960,36,14.96056465,17,6,21
44,65,E_citriodora,960,37,11.07718404,15.1,,
44,65,E_citriodora,960,38,6.302535746,11.6,,
44,65,E_citriodora,960,39,10.3450713,14.9,,
44,65,E_citriodora,960,40,6.970986507,10.2,,
44,65,E_citriodora,960,41,10.18591636,15.6,,
44,65,E_citriodora,960,42,12.12760666,,4,
44,65,E_citriodora,960,43,7.480282325,13.7,,
44,65,E_citriodora,960,44,11.04535305,14.2,,
44,65,E_citriodora,960,45,6.143380803,9.1,2,
44,65,E_citriodora,960,46,13.91014203,16.3,,
44,65,E_citriodora,960,47,9.867606472,12.3,,
44,65,E_citriodora,960,48,8.116902098,13.6,,
44,65,E_citriodora,960,49,11.71380381,15.4,,
